NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
MRPS28,MRPS28,null,null,0.05979855
RPF1,RPF1,null,null,0.0596824
FAM126B,FAM126B,null,null,0.059636764
BIN3,BIN3,null,null,0.05951391
PCLAF,PCLAF,null,null,0.059391286
USP16,USP16,null,null,0.059362646
CETN3,CETN3,null,null,0.059239533
MCRIP1,MCRIP1,null,null,0.059105705
LNPEP,LNPEP,null,null,0.059042215
PPIG,PPIG,null,null,0.058907792
DNTTIP1,DNTTIP1,null,null,0.05889864
ENTPD7,ENTPD7,null,null,0.058857277
SNRPF,SNRPF,null,null,0.05884994
ISG20,ISG20,null,null,0.058756724
TRIM22,TRIM22,null,null,0.05875196
CLK4,CLK4,null,null,0.058685854
PBK,PBK,null,null,0.05861358
MED17,MED17,null,null,0.05852479
MOCS2,MOCS2,null,null,0.058514707
PTCD2,PTCD2,null,null,0.058511026
ZMYM5,ZMYM5,null,null,0.058457345
C1orf52,C1orf52,null,null,0.058433194
NEK4,NEK4,null,null,0.058424797
PGM3,PGM3,null,null,0.058365256
RPRD1B,RPRD1B,null,null,0.058260713
XPA,XPA,null,null,0.058237817
RPP40,RPP40,null,null,0.058230817
CDC25C,CDC25C,null,null,0.05817228
VPS37A,VPS37A,null,null,0.05815139
ABHD13,ABHD13,null,null,0.058133125
TUSC2,TUSC2,null,null,0.058131013
POMP,POMP,null,null,0.05808962
ODF2L,ODF2L,null,null,0.05808603
GCSH,GCSH,null,null,0.058079846
ZNF397,ZNF397,null,null,0.057916347
TPI1,TPI1,null,null,0.05789694
SDHD,SDHD,null,null,0.057879113
CEP57L1,CEP57L1,null,null,0.05787163
MPHOSPH9,MPHOSPH9,null,null,0.05780421
EXOSC3,EXOSC3,null,null,0.057720877
HSPA14,HSPA14,null,null,0.057710998
PAFAH1B2,PAFAH1B2,null,null,0.057695452
KLHDC10,KLHDC10,null,null,0.057676196
PRPF38A,PRPF38A,null,null,0.057662286
BOLA3,BOLA3,null,null,0.057660308
TMX3,TMX3,null,null,0.057651132
RNF121,RNF121,null,null,0.057637118
DNAJB9,DNAJB9,null,null,0.05749942
CHCHD1,CHCHD1,null,null,0.057452723
FAM98A,FAM98A,null,null,0.05731168
SAP18,SAP18,null,null,0.057310347
AP3M2,AP3M2,null,null,0.05730108
FAM32A,FAM32A,null,null,0.057284214
SS18L2,SS18L2,null,null,0.057271216
MAD2L1,MAD2L1,null,null,0.05721147
C1orf112,C1orf112,null,null,0.057172958
HSPBP1,HSPBP1,null,null,0.057065796
SFMBT1,SFMBT1,null,null,0.056998506
ATP6V1D,ATP6V1D,null,null,0.056979652
CEBPZ,CEBPZ,null,null,0.056960206
RNF38,RNF38,null,null,0.05694754
DAD1,DAD1,null,null,0.056870557
BCCIP,BCCIP,null,null,0.0568653
PPIL3,PPIL3,null,null,0.05677061
SEC11A,SEC11A,null,null,0.05669081
TMEM50B,TMEM50B,null,null,0.056672517
RPL37A,RPL37A,null,null,0.056571797
MRPS10,MRPS10,null,null,0.05655067
NDUFA8,NDUFA8,null,null,0.05654184
ZBTB3,ZBTB3,null,null,0.056524813
CENPS-CORT,CENPS-CORT,null,null,0.05647491
RAD51AP1,RAD51AP1,null,null,0.056439705
ESF1,ESF1,null,null,0.056380622
AASDHPPT,AASDHPPT,null,null,0.056369286
NDUFS4,NDUFS4,null,null,0.056283627
HEXIM1,HEXIM1,null,null,0.056261998
LYPLA1,LYPLA1,null,null,0.056256067
MRPS11,MRPS11,null,null,0.056206264
NDC80,NDC80,null,null,0.05619312
FASTKD2,FASTKD2,null,null,0.056123663
CCNE1,CCNE1,null,null,0.056103036
RSRC2,RSRC2,null,null,0.056100633
SURF2,SURF2,null,null,0.056048032
ZNF584,ZNF584,null,null,0.056025006
AP5M1,AP5M1,null,null,0.05601044
BORCS8,BORCS8,null,null,0.05596422
PHTF2,PHTF2,null,null,0.055945374
ZBTB8OS,ZBTB8OS,null,null,0.055941936
USP54,USP54,null,null,0.05592152
CENPQ,CENPQ,null,null,0.05588714
MGLL,MGLL,null,null,0.055876918
RP2,RP2,null,null,0.05579832
BBS1,BBS1,null,null,0.055796236
URGCP-MRPS24,URGCP-MRPS24,null,null,0.05575983
VPS26A,VPS26A,null,null,0.055727854
ACAA1,ACAA1,null,null,0.055710364
ANGEL2,ANGEL2,null,null,0.055657577
TMEM41A,TMEM41A,null,null,0.055537917
DPM1,DPM1,null,null,0.055488933
CTDSPL2,CTDSPL2,null,null,0.05547933
UTP23,UTP23,null,null,0.055420324
ASB3,ASB3,null,null,0.055396672
ZNHIT6,ZNHIT6,null,null,0.055347238
NIP7,NIP7,null,null,0.05530737
IFT22,IFT22,null,null,0.055250667
POLR3GL,POLR3GL,null,null,0.055233687
TTC27,TTC27,null,null,0.05513788
CCNE2,CCNE2,null,null,0.05505841
RPS17,RPS17,null,null,0.055056848
CEP295,CEP295,null,null,0.05502951
MRPL36,MRPL36,null,null,0.054948933
TSNAX,TSNAX,null,null,0.0549417
TMEM50A,TMEM50A,null,null,0.054941323
