NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
C4orf3,C4orf3,null,null,0.091758735
DDHD2,DDHD2,null,null,0.09166652
PKN2,PKN2,null,null,0.09165471
INPP5A,INPP5A,null,null,0.091607146
STX3,STX3,null,null,0.091527656
ATOX1,ATOX1,null,null,0.091484085
LTA,LTA,null,null,0.091438584
SLC25A32,SLC25A32,null,null,0.09116478
PCDHGB4,PCDHGB4,null,null,0.09108152
HENMT1,HENMT1,null,null,0.09096206
TBC1D22B,TBC1D22B,null,null,0.0908209
LCLAT1,LCLAT1,null,null,0.09074166
DGKQ,DGKQ,null,null,0.09061794
MAP3K3,MAP3K3,null,null,0.09053854
SLC35F5,SLC35F5,null,null,0.09051331
SMAD9,SMAD9,null,null,0.090498306
NKIRAS2,NKIRAS2,null,null,0.09025978
DOCK3,DOCK3,null,null,0.0902223
SLC9A1,SLC9A1,null,null,0.08991594
PDPK1,PDPK1,null,null,0.08989661
TMEM43,TMEM43,null,null,0.08969313
OGFRL1,OGFRL1,null,null,0.08963315
ZNF518A,ZNF518A,null,null,0.08946801
PRDM1,PRDM1,null,null,0.08938926
BCL9L,BCL9L,null,null,0.08931243
PITPNC1,PITPNC1,null,null,0.08920143
DNAJA4,DNAJA4,null,null,0.089164436
KDSR,KDSR,null,null,0.08897438
SH3BGRL3,SH3BGRL3,null,null,0.08894793
ZNFX1,ZNFX1,null,null,0.08881046
EIF4A2,EIF4A2,null,null,0.08876008
RRN3,RRN3,null,null,0.088748634
EVC2,EVC2,null,null,0.08869132
HIVEP2,HIVEP2,null,null,0.08868172
SYBU,SYBU,null,null,0.08865761
COCH,COCH,null,null,0.0886223
JUND,JUND,null,null,0.0885667
TENT4B,TENT4B,null,null,0.08842545
MTMR4,MTMR4,null,null,0.08842492
AKAP10,AKAP10,null,null,0.088343605
HMOX1,HMOX1,null,null,0.08832698
CLIP1,CLIP1,null,null,0.08830603
SIK2,SIK2,null,null,0.088017054
S100A11,S100A11,null,null,0.08790703
TADA2B,TADA2B,null,null,0.08782699
OTUD4,OTUD4,null,null,0.08777851
ZNF432,ZNF432,null,null,0.0877736
DNAJC21,DNAJC21,null,null,0.087699935
CARNMT1,CARNMT1,null,null,0.08740005
KIAA0556,KIAA0556,null,null,0.08724479
GOLGA5,GOLGA5,null,null,0.087244615
DMWD,DMWD,null,null,0.087196685
ODC1,ODC1,null,null,0.087182306
PHF2,PHF2,null,null,0.08715023
COMMD3-BMI1,COMMD3-BMI1,null,null,0.08711672
COMMD6,COMMD6,null,null,0.08711214
ZFP91,ZFP91,null,null,0.08706225
CHMP3,CHMP3,null,null,0.08692803
VDAC2,VDAC2,null,null,0.08664673
WDR82,WDR82,null,null,0.0866157
PITPNM2,PITPNM2,null,null,0.08660519
IER2,IER2,null,null,0.0865306
