Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,U2932_WT_centered,U2932_MUT_centered,U2932_WT_1,U2932_WT_2,U2932_WT_3,U2932_MUT_1,U2932_MUT_2,U2932_MUT_3
NEIL1,Q96FI4,79661,6.004317850450826e-4,6.73e-4,0.258,TRUE,Up,0.129,-0.129,9.893908215075092,9.88233736124948,9.855179946816332,10.137119232060856,10.133142212400601,10.135452784185173
B2RB47,B2RB47,NA,6.217596228919739e-4,7.54e-4,-0.292,TRUE,Down,-0.146,0.146,10.287135186086704,10.311861819197684,10.283319906678441,9.971687241520323,9.971974573734157,10.061641208576917
SEC22B,O75396,NA,6.314848039408665e-4,7.91e-4,-0.371,TRUE,Down,-0.185,0.185,11.61074803897785,11.728048045770118,11.768267045744862,11.357002092264985,11.26830806239773,11.369106550206283
BCAP31,P51572,10134,6.521670643554416e-4,8.75e-4,-0.529,TRUE,Down,-0.265,0.265,11.224001674198105,11.017365205292732,11.033491830765817,10.7048546774586,10.479072887186838,10.5031300561522
BCL2A1,Q16548,597,6.720633899227235e-4,9.59e-4,0.379,TRUE,Up,0.19,-0.19,6.821455119102458,6.854245054220128,6.726558779104974,7.2630344058337934,7.175923742063755,7.101187815259738
B2R9T9,B2R9T9,NA,6.834150588682686e-4,0.00101,-0.385,TRUE,Down,-0.193,0.193,10.639340708652231,10.611854753888009,10.51402360423735,10.252310627749303,10.104205595082338,10.252901920450268
ASL,P04424,435,7.33144219245353e-4,0.00124,-0.351,TRUE,Down,-0.175,0.175,7.820817181864166,7.702519029153285,7.759555343206311,7.493455200926176,7.372429792334089,7.364572432295856
USE1,Q9NZ43,55850,7.573115883182604e-4,0.00136,-0.434,TRUE,Down,-0.217,0.217,9.494255586544979,9.426055045414587,9.360847084179664,9.083479327331842,8.862327400517986,9.033698298750554
SLC44A1,Q8WWI5,23446,7.607828291167156e-4,0.00138,-0.323,TRUE,Down,-0.162,0.162,7.552284839943512,7.426264754702098,7.410239330776022,7.137503523749935,7.1588621062084545,7.122051447713891
QPCTL,Q9NXS2,54814,7.795727594927492e-4,0.00148,-0.411,TRUE,Down,-0.206,0.206,8.697315121716246,8.704941110376033,8.69939893773701,8.306061689428342,8.156841524588401,8.404290064444837
EMD,P50402,2010,7.838680186872009e-4,0.0015,-0.431,TRUE,Down,-0.215,0.215,10.25868380010696,10.211888294546004,10.127994320976393,9.879583249612784,9.648177795724818,9.778734244117837
CDYL,Q9Y232,9425,7.866143888521927e-4,0.00151,-0.273,TRUE,Down,-0.137,0.137,9.636262088806376,9.57723998124696,9.58439883787324,9.349391818295938,9.284014344738006,9.344961613552895
CCDC69,A6NI79,26112,7.979335119865649e-4,0.00157,-0.366,TRUE,Down,-0.183,0.183,10.002533761089955,10.084542673641922,9.913487840715163,9.57742882803575,9.694009578421863,9.632449995256685
A8K0D2,A8K0D2,NA,8.36606710102857e-4,0.00178,-0.626,TRUE,Down,-0.313,0.313,10.14300048549815,10.324068007514905,10.400559276120893,9.560332834212442,9.564911610997058,9.864805194241503
PTPN1,P18031,5770,8.564827792812034e-4,0.00189,-0.412,TRUE,Down,-0.206,0.206,10.162139527544836,10.084808387804362,10.311975314461156,9.795877316795076,9.710289863290697,9.815383295813538
UBXN4,Q92575,23190,8.623720547853933e-4,0.00192,-0.357,TRUE,Down,-0.178,0.178,10.574025797924806,10.545447181678094,10.610563503925041,10.222432674542764,10.122698599315326,10.315036316442757
METAP2.1,F8VQZ7,10988,8.682259359963273e-4,0.00195,0.506,TRUE,Up,0.253,-0.253,12.17436397042298,12.28114763078261,12.032975531493625,12.685602940728321,12.77567200341412,12.544940291103966
METAP2,P50579,10988,8.883687638773582e-4,0.00206,0.504,TRUE,Up,0.252,-0.252,12.179287104646004,12.28114763078261,12.032975531493625,12.685602940728321,12.77567200341412,12.544940291103966
PHYH,O14832,5264,8.91666963936333e-4,0.00208,-0.349,TRUE,Down,-0.174,0.174,7.293701542080735,7.347842793638155,7.361943773735241,6.933100474931368,6.931919390100041,7.0916998341368105
B3KQB4,B3KQB4,NA,8.997720985437561e-4,0.00212,-0.32,TRUE,Down,-0.16,0.16,8.332260378172183,8.187352073200497,8.24460168773681,7.914684105328389,7.908692838242504,7.981281854057412
NDC1,Q9BTX1,55706,9.134251542712895e-4,0.0022,-0.311,TRUE,Down,-0.155,0.155,9.957682486165123,9.969962045451197,10.011227255423254,9.729790662290752,9.5870273824021,9.689299160535892
B2RE34,B2RE34,NA,9.177546125425182e-4,0.00222,-0.274,TRUE,Down,-0.137,0.137,10.39059890555246,10.405886025049595,10.331476821859619,10.146314097472807,10.07628116657949,10.083612288489569
PURA,Q00577,5813,9.260303759960548e-4,0.00227,0.53,TRUE,Up,0.265,-0.265,10.278333294522936,10.460558284091581,10.28343566957045,10.750204509279872,11.040837649266594,10.822570830950168
SLC39A7,Q92504,7922,9.31821777204545e-4,0.0023,-0.46,TRUE,Down,-0.23,0.23,7.589463892956097,7.519636252843212,7.576673292516575,7.144658242831882,6.936637939002571,7.224001674198105
TCF3,P15923,6929,9.326662082784616e-4,0.00231,-0.351,TRUE,Down,-0.175,0.175,8.974701379398141,9.070120944476823,9.083479327331842,8.652127927738269,8.786269627648466,8.638073837180718
RAB11FIP1,Q6WKZ4,80223,9.445268986238702e-4,0.00238,0.307,TRUE,Up,0.153,-0.153,9.705632387361415,9.654098945302472,9.795065582659618,9.99138012054477,10.034386312040759,10.049712439724447
Q53GI2,Q53GI2,NA,9.641508093183275e-4,0.0025,-0.469,TRUE,Down,-0.235,0.235,9.870672954824592,9.664625054869296,9.736740155453209,9.306517445249819,9.160879861839305,9.396604781181859
ZNF787,A0A087WUD1,NA,9.749935992635707e-4,0.00257,-0.47,TRUE,Down,-0.235,0.235,8.60584986719498,8.445842553889342,8.616181231331876,8.215775653020282,7.96116025813664,8.080018029089175
PPFIBP1,Q86W92,8496,9.878342812922e-4,0.00266,-0.314,TRUE,Down,-0.157,0.157,8.441699256840266,8.364572432295857,8.390168956200183,8.13493964349298,8.118941072723507,8.001126665454285
B4E2A6,B4E2A6,NA,0.0010057597612268048,0.00277,-0.411,TRUE,Down,-0.206,0.206,8.828136484194108,8.720073211391771,8.662846365159478,8.337621901992508,8.216745858195306,8.422905742612183
PIGK,Q92643,10026,0.0010188932195766647,0.00286,-0.29,TRUE,Down,-0.145,0.145,7.321928094887363,7.288173968112302,7.277984747299765,7.073606040574941,6.94251450533924,7.002252451731379
MECP2,E9LUH4,NA,0.0010343356964316126,0.00296,-0.319,TRUE,Down,-0.159,0.159,9.401946123976536,9.2635039567056,9.329347878459275,9.05012073038541,8.951576139074799,9.036173612553485
BZW1,Q7L1Q6,9689,0.00104722928703512,0.00304,0.239,TRUE,Up,0.119,-0.119,11.67815995754276,11.656469555740443,11.62648476777732,11.884208685139068,11.889237758956272,11.90433355842814
MARCKS,P29966,4082,0.0010478108799221702,0.00305,-1.27,TRUE,Down,-0.633,0.633,8.716305039844418,8.71046207397916,9.355351096424812,7.363696744838992,7.618385502258606,8.001689668404214
DPY19L1,A0A1B0GW05,23333,0.0010927847276772297,0.00342,-0.287,TRUE,Down,-0.144,0.144,8.189824558880018,8.180903709179383,8.300123724569014,7.924218679748503,7.921245888585589,7.96289600533726
GAPVD1,Q14C86,26130,0.0011005236629593029,0.00348,-0.255,TRUE,Down,-0.127,0.127,10.509379148914688,10.502931228279657,10.427312844134963,10.234458209210445,10.216260837165056,10.225207436943501
PNKP,Q96T60,11284,0.0011258758384132385,0.0037,-0.331,TRUE,Down,-0.166,0.166,10.918863237274595,10.87305954766147,11.040769169615892,10.572416016936998,10.607885089776785,10.658747037435006
STIM1,G0XQ39,6786,0.0011692478125687098,0.00408,-0.273,TRUE,Down,-0.136,0.136,8.642051692927977,8.602513297451836,8.70977310785294,8.403012023574997,8.343407822297815,8.390168956200183
A8KAQ3,A8KAQ3,NA,0.001201562055185649,0.00438,-0.306,TRUE,Down,-0.153,0.153,7.896635141302909,7.930737337562887,7.973266860993293,7.661778097771987,7.539934245171789,7.679480099505446
STX18,Q9P2W9,53407,0.0012191343401274054,0.00454,-0.519,TRUE,Down,-0.26,0.26,8.247452864634932,8.270996060740275,8.321477182228312,7.905687848526862,7.550746785383243,7.825912798784975
FAM20B,O75063,9917,0.00125963132433957,0.00492,-0.353,TRUE,Down,-0.176,0.176,7.829088444004886,7.800899899920305,7.658211482751795,7.484621527098599,7.373300196608388,7.372429792334089
ASPH,Q12797,444,0.001303662848641192,0.00535,-0.473,TRUE,Down,-0.236,0.236,8.290018846932618,8.288635409037678,8.542258049766918,7.82209277437953,7.880807948362805,7.999436337152084
NUP210,Q8TEM1,23225,0.0013048267987592743,0.00536,-0.306,TRUE,Down,-0.153,0.153,12.335446185465043,12.227134563683068,12.392156398721347,11.989571898558868,12.006255940940589,12.04011845076483
SLC25A42,Q86VD7,284439,0.0013096564523277906,0.00541,-0.366,TRUE,Down,-0.183,0.183,5.736063627871814,5.862947248020921,5.83541884047548,5.554588851677638,5.357552004618084,5.422905742612183
UBA2,Q9UBT2,10054,0.0013211546487415366,0.00552,-0.288,TRUE,Down,-0.144,0.144,12.762610426582437,12.828493542738409,12.861106296927456,12.466637315441936,12.537024215863575,12.583364883667354
ZFP91,Q96JP5,80829,0.0013515968736365154,0.00582,-0.296,TRUE,Down,-0.148,0.148,7.759555343206311,7.701826258412055,7.700439718141092,7.511752653767379,7.376776571882982,7.386293635150991
SYVN1,Q86TM6,84447,0.0013653338799404907,0.00596,-0.27,TRUE,Down,-0.135,0.135,7.177917792195843,7.149747119504682,7.118941072723508,6.809928865721431,6.9092930858238235,6.916476644437717
TMED9,Q9BVK6,54732,0.0013769113158920358,0.00607,-0.244,TRUE,Down,-0.122,0.122,10.783898588822536,10.791814071161825,10.835734632321087,10.543128512392997,10.53430288245463,10.602049274083875
PDE4A,P27815,5141,0.0014138386327677802,0.00644,-0.253,TRUE,Down,-0.127,0.127,7.386293635150991,7.423746229114772,7.374170076068501,7.102238193930738,7.127220550488074,7.195741293246449
ABHD12,Q8N2K0,26090,0.0014219379631772587,0.00652,-0.407,TRUE,Down,-0.203,0.203,9.229059119634158,9.144913113434239,9.037546953962178,8.822411496360477,8.613236954716333,8.755555261972145
S100A11,P31949,6282,0.0014248727696864767,0.00655,-1,TRUE,Down,-0.501,0.501,9.122310343190742,9.71853287606922,9.515108448629977,8.760553632975741,8.338067797542616,8.250298417906333
ARL6IP4.1,Q66PJ3,NA,0.0014603245349047562,0.00694,-0.26,TRUE,Down,-0.13,0.13,10.397674632948268,10.321477182228312,10.324293076944517,10.137375437893688,10.071194178702168,10.055689153083422
RABL6,Q3YEC7,55684,0.001471262444241103,0.00706,-0.303,TRUE,Down,-0.151,0.151,9.350055177204501,9.482001193087084,9.402372578322204,9.03974158460541,9.135196236653442,9.151016538892248
TXNDC15,Q96J42,79770,0.0015043073067920493,0.0074400000000000004,-0.315,TRUE,Down,-0.158,0.158,7.204571144249203,7.191799501065075,7.2469780596147215,6.930737337562887,6.794415866350106,6.972692654004264
HIST2H3PS2,Q5TEC6,440686,0.0015445719081849374,0.00791,-0.515,TRUE,Down,-0.258,0.258,13.254792430192882,13.2291642947839,13.217185267702359,12.936048963676615,12.55026580686874,12.668818519511632
CCDC50,Q8IVM0,152137,0.0015558071884323238,0.00804,-0.588,TRUE,Down,-0.294,0.294,11.990316735045983,11.568003594232383,11.675692455802354,11.23158120942184,11.08075091965149,11.158735902731937
B2R9B9,B2R9B9,NA,0.0015756131400434651,0.00828,-0.399,TRUE,Down,-0.199,0.199,7.930145947908821,7.744833837499546,7.676662334857967,7.448735798029397,7.371558862611963,7.334496768390418
DCAF12,Q5T6F0,25853,0.001639461630990638,0.00904,0.411,TRUE,Up,0.206,-0.206,6.24412594328373,6.059614856297222,6.2686589550276715,6.671010241278451,6.4886435398537845,6.646738698307846
MICALL1,Q8N3F8,85377,0.0016389725053957704,0.00904,-0.235,TRUE,Down,-0.118,0.118,9.277287400130357,9.258094872866513,9.288635409037678,8.990671283975267,9.06285565520599,9.065281485832276
