"Name","ID","P_value","FDR","Significant","log2FC","U2932_WT_centered","U2932_MUT_centered"
"AHSA1","O95433",0.255602768416003,0.858,FALSE,0.0841,0.0421,-0.0421
"AIFM1","O95831",0.442017108211347,0.901,FALSE,-0.0366,-0.0183,0.0183
"AIM1","A0A0J9YWL0",0.0294926260117043,0.428,FALSE,-0.196,-0.0979,0.0979
"AIM2","O14862",0.0542418566057556,0.601,FALSE,0.489,0.244,-0.244
"AIMP1","Q12904-2",0.133504002264135,0.781,FALSE,-0.0818,-0.0409,0.0409
"AIP","D0EKE5",0.243070719167218,0.854,FALSE,0.117,0.0587,-0.0587
"AIP.1","D2CVN5",0.0951207526150456,0.724,FALSE,0.125,0.0627,-0.0627
"AK2","P54819",0.310292573524497,0.875,FALSE,-0.053,-0.0265,0.0265
"AK3","Q7Z4Y4",0.889886526280726,0.938,FALSE,-0.0145,-0.00727,0.00727
"AK4","P27144",0.574383760016633,0.917,FALSE,-0.0608,-0.0304,0.0304
"AK6","Q9Y3D8",0.0973405468473961,0.729,FALSE,0.11,0.055,-0.055
"AKAP1","Q92667",0.832329436386022,0.935,FALSE,-0.0188,-0.00939,0.00939
"AKAP10","O43572",0.482041275349591,0.906,FALSE,-0.0481,-0.0241,0.0241
"AKAP11","Q9UKA4",0.746985495661838,0.93,FALSE,0.0178,0.00892,-0.00892
"AKAP13","Q12802-2",0.0152930255882815,0.239,FALSE,0.176,0.088,-0.088
"AKAP17A","Q02040",0.158752681473413,0.805,FALSE,-0.0706,-0.0353,0.0353
"AKAP2","Q9Y2D5-6",0.557298558498455,0.915,FALSE,-0.0454,-0.0227,0.0227
"AKAP8","O43823",0.833542261180565,0.935,FALSE,0.00996,0.00498,-0.00498
"AKAP8L","Q9ULX6",0.65994301323506,0.924,FALSE,0.0199,0.00993,-0.00993
"AKAP9","Q99996-6",0.528967678709224,0.912,FALSE,0.0459,0.0229,-0.0229
"AKIRIN2","Q53H80",0.26481203506072,0.862,FALSE,0.0954,0.0477,-0.0477
"AKR1A1","P14550",0.560780843185507,0.915,FALSE,-0.034,-0.017,0.017
"AKR1B1","P15121",0.174593225615733,0.817,FALSE,-0.0686,-0.0343,0.0343
"AKR7A2","O43488",0.139470936826469,0.787,FALSE,-0.137,-0.0683,0.0683
"AKT1","P31749",0.00563258847900918,0.073,FALSE,-0.27,-0.135,0.135
"AKT1S1","Q96B36-3",0.015914109237706,0.248,FALSE,-0.356,-0.178,0.178
"AKT2","P31751",0.633855664598339,0.922,FALSE,-0.0258,-0.0129,0.0129
"ALAD","P13716-2",0.760138207042294,0.931,FALSE,0.0217,0.0108,-0.0108
"ALDH16A1","Q8IZ83",0.356249795810778,0.886,FALSE,0.0692,0.0346,-0.0346
"ALDH18A1","P54886",0.918900617010716,0.939,FALSE,-0.0082,-0.0041,0.0041
"ALDH1B1","P30837",0.647936941300434,0.923,FALSE,-0.0494,-0.0247,0.0247
"ALDH2","P05091",0.2385745206648,0.852,FALSE,-0.156,-0.0779,0.0779
"ALDH3A2","P51648-2",0.0112528311310238,0.173,FALSE,-0.182,-0.0912,0.0912
"ALDH4A1","P30038",0.618391966040355,0.92,FALSE,0.0273,0.0137,-0.0137
"ALDH5A1","P51649-2",0.0323110241702192,0.455,FALSE,0.191,0.0953,-0.0953
"ALDH6A1","Q02252",0.127489890642356,0.774,FALSE,-0.148,-0.0738,0.0738
"ALDH9A1","B9EKV4",0.240754998717505,0.853,FALSE,0.0695,0.0348,-0.0348
"ALDOA","P04075",0.546782476230326,0.914,FALSE,0.0374,0.0187,-0.0187
"ALG1","Q9BT22",0.0399023624435048,0.517,FALSE,-0.306,-0.153,0.153
"ALG13","Q9NP73-2",0.714871285683064,0.928,FALSE,0.0323,0.0161,-0.0161
"ALG2","Q9H553",0.815617049375353,0.934,FALSE,-0.0151,-0.00754,0.00754
"ALKBH1","Q13686",0.492035713393944,0.908,FALSE,-0.0421,-0.021,0.021
"ALKBH4","Q9NXW9",0.294313280765089,0.871,FALSE,0.0667,0.0334,-0.0334
"ALKBH5","Q6P6C2",0.109134406918394,0.749,FALSE,-0.0803,-0.0402,0.0402
"ALKBH7","Q9BT30",0.74342289631903,0.93,FALSE,-0.0367,-0.0183,0.0183
"ALMS1","A0A087WZY3",0.0881379202417901,0.71,FALSE,-0.117,-0.0585,0.0585
"ALOX5","P09917",0.144124649201509,0.792,FALSE,-0.141,-0.0704,0.0704
"ALYREF","E9PB61",0.0046815689453346,0.0565,FALSE,-0.236,-0.118,0.118
