"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"ANAPC16","Q96DE5",0.988213962338836,0.94,FALSE,0.00093,-0.000465,0.000465
"ANAPC5","Q9UJX4",0.0915504733276715,0.838,FALSE,-0.081,0.0405,-0.0405
"ANAPC7","Q9UJX3",0.00472625473223993,0.246,FALSE,-0.208,0.104,-0.104
"ANGEL2","Q5VTE6",0.30742318581082,0.904,FALSE,0.0557,-0.0278,0.0278
"ANKFY1","Q9P2R3-4",0.169709894002395,0.878,FALSE,-0.118,0.0592,-0.0592
"ANKHD1","Q8IWZ3-6",0.347478548483858,0.909,FALSE,-0.038,0.019,-0.019
"ANKHD1.1","D6RHC4",0.104444453618678,0.848,FALSE,-0.11,0.0549,-0.0549
"ANKLE2","Q86XL3",0.981961421655573,0.939,FALSE,-0.00106,0.000528,-0.000528
"ANKRD10","Q9NXR5",0.0288351289334573,0.697,FALSE,-0.208,0.104,-0.104
"ANKRD13A","Q8IZ07",0.0186050577078127,0.605,FALSE,0.267,-0.134,0.134
"ANKRD17","O75179",0.145678985931626,0.869,FALSE,-0.114,0.0571,-0.0571
"ANKRD27","Q96NW4",0.254191578515502,0.897,FALSE,-0.0607,0.0304,-0.0304
"ANKRD28","O15084-1",0.196265137255579,0.885,FALSE,-0.0598,0.0299,-0.0299
"ANKRD36","A6QL64",0.459484279202628,0.918,FALSE,0.0436,-0.0218,0.0218
"ANKRD44","Q8N8A2-2",0.383274065674589,0.912,FALSE,-0.0447,0.0224,-0.0224
"ANKRD49","Q8WVL7",0.0074368403739863,0.353,FALSE,-0.353,0.177,-0.177
"ANKRD54","Q6NXT1",0.0948238641540064,0.841,FALSE,-0.117,0.0583,-0.0583
"ANKS1A","Q92625",0.479433533928602,0.919,FALSE,0.0798,-0.0399,0.0399
"ANKZF1","Q9H8Y5",0.852724152382065,0.936,FALSE,-0.00958,0.00479,-0.00479
"ANP32A","P39687",0.165921085482846,0.876,FALSE,-0.0606,0.0303,-0.0303
"ANP32B","Q92688",0.259370637218802,0.897,FALSE,-0.0474,0.0237,-0.0237
"ANP32D","O95626",0.209330898190129,0.888,FALSE,0.0526,-0.0263,0.0263
"ANP32E","Q9BTT0-3",0.0299983985813552,0.704,FALSE,0.115,-0.0573,0.0573
"ANP32E.1","Q9BTT0",0.0115581244221837,0.476,FALSE,0.149,-0.0743,0.0743
"ANXA11","P50995",0.36968197627196,0.911,FALSE,-0.0362,0.0181,-0.0181
"ANXA2","P07355-2",0.0183827583367928,0.602,FALSE,-0.135,0.0675,-0.0675
"ANXA6","P08133",0.145598797061886,0.869,FALSE,0.08,-0.04,0.04
"ANXA6.1","A0A0S2Z377",0.199253227356666,0.886,FALSE,0.0704,-0.0352,0.0352
"AP1B1","Q10567-3",0.4719922310072,0.919,FALSE,-0.0287,0.0143,-0.0143
"AP1G2","O75843",0.0112662603974062,0.469,FALSE,-0.15,0.0751,-0.0751
"AP1S1","P61966",0.0247487652335935,0.668,FALSE,-0.277,0.139,-0.139
"AP1S2","A0A024RBX8",0.479162000043546,0.919,FALSE,-0.0348,0.0174,-0.0174
"AP2A1","O95782",0.198234516247844,0.885,FALSE,-0.0589,0.0295,-0.0295
"AP2A2","O94973",0.22454327502809,0.891,FALSE,-0.0551,0.0275,-0.0275
"AP2M1","E9PFW3",0.0434582907465608,0.761,FALSE,-0.114,0.057,-0.057
"AP2S1","M0QYZ2",0.686709549105211,0.93,FALSE,-0.0231,0.0115,-0.0115
"AP3B1","O00203",0.221166119480008,0.891,FALSE,-0.0729,0.0365,-0.0365
"AP3D1","Q6PK82",0.0357287642694497,0.732,FALSE,-0.119,0.0594,-0.0594
"AP3M1","Q9Y2T2",0.0404492996048802,0.751,FALSE,-0.106,0.0529,-0.0529
"AP3M2","P53677",0.0261718164080234,0.679,FALSE,-0.157,0.0786,-0.0786
"AP3S1","Q92572",0.120885882228728,0.858,FALSE,-0.0918,0.0459,-0.0459
"AP4E1","Q9UPM8",0.95465534010453,0.939,FALSE,-0.00277,0.00138,-0.00138
"AP5B1","Q2VPB7",0.0177793166017273,0.594,FALSE,-0.135,0.0677,-0.0677
"APAF1","O14727",0.111059987281183,0.852,FALSE,-0.089,0.0445,-0.0445
"APEH","C9JIF9",0.124355956763408,0.86,FALSE,-0.0702,0.0351,-0.0351
"APEX1","P27695",0.304347177491584,0.904,FALSE,0.0473,-0.0236,0.0236
"API5","Q9BZZ5",0.890756605696934,0.937,FALSE,-0.00547,0.00274,-0.00274
"API5.1","Q9BZZ5-2",0.824367143894762,0.935,FALSE,-0.00884,0.00442,-0.00442
"APIP","Q96GX9",0.112949921138215,0.853,FALSE,-0.138,0.0688,-0.0688
"APMAP","Q9HDC9",0.0591131330463622,0.798,FALSE,-0.235,0.118,-0.118
"APOA1","P02647",0.0921464870835988,0.838,FALSE,0.239,-0.12,0.12
