Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
POLR2G,P62487,5436,0.02208013445521247,0.644,-0.21,FALSE,Stable,0.105,11.101347135487847,11.237284831611408,-0.105,10.934170294548514,10.983687701033958
STX7,O15400,8417,0.02205419343375299,0.644,0.212,FALSE,Stable,-0.106,11.65491157589327,11.800800168774334,0.106,11.942574034517902,11.936650936587121
OCIAD2,Q56VL3,132299,0.022128617233349652,0.645,-0.276,FALSE,Stable,0.138,11.215772062374413,11.012725764885817,-0.138,10.814583601532599,10.862432811811086
HSPE1,P61604,3336,0.022318080040710567,0.646,-0.325,FALSE,Stable,0.163,14.816926804827304,14.563063137751051,-0.163,14.353216243285509,14.37640365124115
NDUFS4,O43181,4724,0.02233165829312803,0.646,0.148,FALSE,Stable,-0.0738,11.120093911114475,11.064769776412536,0.0738,11.217422646174331,11.26260957393052
SRA1,B3KNT3,NA,0.022264104155512398,0.646,-0.274,FALSE,Stable,0.137,11.403090470490222,11.205903040849385,-0.137,11.062877304840773,10.997431422410289
CTSD,H7C1V0,NA,0.022455150183933636,0.648,-0.219,FALSE,Stable,0.109,11.748756236260784,11.597045861856593,-0.109,11.43994803942343,11.468324181632669
MTHFD1L,B7ZM99,25902,0.022466899824455617,0.648,-0.121,FALSE,Stable,0.0607,11.509742932231056,11.515647534492745,-0.0607,11.395413168677603,11.387354406838261
SEC23A,Q15436,10484,0.02244299969173462,0.648,-0.163,FALSE,Stable,0.0813,11.76250387461343,11.678193915633898,-0.0813,11.576248144031533,11.539364042323845
SPRYD4,Q8WW59,NA,0.022536126324533595,0.648,0.187,FALSE,Stable,-0.0933,10.999101723138418,11.081102015829453,0.0933,11.18251398603001,11.271046971058732
TIMM9,Q9Y5J7,26520,0.022510223740060516,0.648,-0.144,FALSE,Stable,0.0721,11.711222438720714,11.767654110883132,-0.0721,11.57721122710763,11.613175570124621
BUB3,O43684,9184,0.022608792997161155,0.649,-0.128,FALSE,Stable,0.0641,13.62208364867523,13.594220428789574,-0.0641,13.492254031578035,13.467490737571774
CHD7,A0A024R7V7,NA,0.022566066881649787,0.649,-0.47,FALSE,Stable,0.235,9.93071588464723,9.564583022914023,-0.235,9.21792597532777,9.337094468768226
FTSJ1,A0A0S2Z5C9,NA,0.02262328334591065,0.649,-0.17,FALSE,Stable,0.085,10.597387639641322,10.53317387751648,-0.085,10.434728986485494,10.355996895238434
HDAC3,O15379,8841,0.02262409317345119,0.649,0.149,FALSE,Stable,-0.0743,10.90441945458351,10.834551623774445,0.0743,11.029607725664842,11.006383798051955
PGAM5,Q96HS1,192111,0.022547016965255875,0.649,-0.179,FALSE,Stable,0.0896,12.311307502473356,12.20171480588409,-0.0896,12.089392574025407,12.065371428693405
PSMD10,O75832,5716,0.022551868858171623,0.649,0.147,FALSE,Stable,-0.0737,12.549624522329738,12.560862885113782,0.0737,12.738142194810843,12.667193788427445
RAB10,P61026,10890,0.022676437701456068,0.65,0.234,FALSE,Stable,-0.117,13.115550821985442,13.285458997817416,0.117,13.43443646329062,13.433859644486684
RPS28,P62857,6234,0.022681014097764553,0.65,-0.148,FALSE,Stable,0.0742,12.444136618219451,12.384786060621177,-0.0742,12.287848551643556,12.244268805596956
B2R761,B2R761,NA,0.022831902442704395,0.651,0.175,FALSE,Stable,-0.0874,13.596280808420655,13.5201441265549,0.0874,13.694735493112479,13.771132305476247
DPP3,G3V180,10072,0.022848920387866848,0.651,-0.149,FALSE,Stable,0.0743,14.349848249138947,14.275411822645617,-0.0743,14.165815769754268,14.16205067099867
MTDH,Q86UE4,92140,0.022912744568936865,0.652,0.127,FALSE,Stable,-0.0637,12.778193789327641,12.7678751210599,0.0637,12.883021685419344,12.917754828309276
Q53GL1,Q53GL1,NA,0.022906834239426143,0.652,-0.132,FALSE,Stable,0.0659,10.219567919521564,10.238802528556564,-0.0659,10.076502425927416,10.118443491484548
SPR,P35270,6697,0.02288810892544599,0.652,0.128,FALSE,Stable,-0.0639,10.335472227428381,10.369891085881495,0.0639,10.48776268279087,10.473274382315605
AKAP11,Q9UKA4,11215,0.02301104268661383,0.653,0.178,FALSE,Stable,-0.0889,9.702966806264364,9.814562741087414,0.0889,9.93241032708608,9.94069857282361
BRIX1,Q8TDN6,55299,0.023006055204243234,0.653,-0.379,FALSE,Stable,0.189,12.346722673331083,12.04065987916491,-0.189,11.820495349975479,11.80920021877997
CREG1,O75629,8804,0.02303198708466727,0.653,-0.138,FALSE,Stable,0.0688,10.836114897903972,10.778528656025282,-0.0688,10.671235110183732,10.668178103899145
TIMM44,O43615,10469,0.023030146379410546,0.653,-0.128,FALSE,Stable,0.0641,14.228772336057789,14.192999845551984,-0.0641,14.074764685772397,14.090409800597843
