ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id,status
ENSG00000101473,676.8862555860796,-0.04729328642128143,0.12078386797458278,-0.3915530046713988,0.6953885174480866,0.8837457275695851,ACOT8,10005,stable
ENSG00000132801,152.24683488819315,-0.16359886336869914,0.1892800988096801,-0.8643215234856608,0.3874112896633919,0.6898574096695208,ZSWIM3,140831,stable
ENSG00000168612,351.8260694213488,0.21726026585572875,0.11642842769743277,1.86604139686857,0.06203557396145908,0.2674387083119971,ZSWIM1,90204,stable
ENSG00000064601,967.6038947717826,0.10193278411068947,0.1458801514720764,0.6987433388441532,0.48471244429572174,0.7636611707941856,CTSA,5476,stable
ENSG00000100982,1420.94548932823,-0.28881209421135323,0.1847822098189982,-1.562986471989141,0.1180557767817195,0.38485330842560544,PCIF1,63935,stable
ENSG00000198026,1153.9488097754158,-0.1233045165429449,0.10145909574508469,-1.2153125911228964,0.2242468914410771,0.540475872180392,ZNF335,63925,stable
ENSG00000124160,1850.9930754892669,0.16819951178269654,0.10549242712930025,1.5944226174314606,0.11084140995739636,0.3715497748400559,NCOA5,57727,stable
ENSG00000101017,2124.844133328776,-0.4711124392418961,0.20430790707504912,-2.3058943042710567,0.02111653897479955,0.13887229749309352,CD40,958,stable
ENSG00000080189,1559.1088124488645,0.004257958815250994,0.10032171941142073,0.04244304065193547,0.9661455177653814,0.9911062389773944,SLC35C2,51006,stable
ENSG00000062598,1155.1164303969194,0.23779835078795802,0.16637317934084084,1.4293070056730228,0.15291601331995586,0.4410518624970422,ELMO2,63916,stable
ENSG00000172315,921.1177679080982,0.04843418070248645,0.11159361248457375,0.43402287661564676,0.6642718287935635,0.8702998881928171,TP53RK,112858,stable
ENSG00000101040,2076.609057099289,-0.0645309369984393,0.07719117832356015,-0.8359884950576443,0.4031613754250435,0.7019476138356813,ZMYND8,23613,stable
ENSG00000124151,6070.94354603963,0.1915788635555859,0.15961075075722791,1.200287967111829,0.230027521371382,0.5483942066162983,NCOA3,8202,stable
ENSG00000196562,1976.2272915614747,-0.14726788041942596,0.26570563879645837,-0.5542519951269808,0.5794063986238943,0.8232333527101307,SULF2,55959,stable
ENSG00000124198,4976.68385468918,-0.15046444125902855,0.10001985706756228,-1.5043456936495274,0.13249237943858486,0.409189171857287,ARFGEF2,10564,stable
ENSG00000124207,9804.076348122231,0.06366035163012146,0.15131712202372324,0.4207081841018685,0.6739681842356608,0.8747056401041927,CSE1L,1434,stable
ENSG00000124214,3974.954188842155,0.3162926587456037,0.10519342924667513,3.0067720104827824,0.002640377094440228,0.034173524489122205,STAU1,6780,stable
ENSG00000124228,2829.7456619724085,0.09617267662699322,0.07786791280308222,1.2350745405261003,0.216802763649851,0.5321027895642066,DDX27,55661,stable
ENSG00000124201,1857.0364527669992,0.327376207798955,0.1193153990396701,2.7437883997698287,0.006073467282639604,0.0588842849256886,ZNFX1,57169,stable
ENSG00000177410,2615.3954154820194,0.3247402158262181,0.17501816988175692,1.855465727047735,0.06352974905301469,0.27138854590005074,ZFAS1,441951,stable
ENSG00000158470,2749.124008608584,-0.10466410522167573,0.13593164896062346,-0.7699759844154817,0.4413141386098278,0.7314113614486473,B4GALT5,9334,stable
ENSG00000197818,953.8696729663485,0.04486178518727623,0.12087374912733645,0.37114580718445195,0.7105289344487005,0.8912169207707334,SLC9A8,23315,stable
ENSG00000158480,506.45210004574847,0.1841162465197108,0.12642642134304252,1.45631146214393,0.14530653835311919,0.42922834769181334,SPATA2,9825,stable
ENSG00000124226,2585.283073709676,0.039070029877941344,0.09279683247269517,0.42102762386245707,0.6737349105313324,0.874612063737675,RNF114,55905,stable
ENSG00000244687,2949.718847513029,-0.01227193178041106,0.08715132464236768,-0.1408117642591194,0.8880186491351445,0.963891468908659,UBE2V1,7335,stable
ENSG00000124208,3121.4629383002984,-0.004560156873172565,0.0815597174977644,-0.05591187675824847,0.9554120093468741,0.9885136073989931,PEDS1-UBE2V1,387522,stable
ENSG00000240849,633.8559957364414,0.052765502151556475,0.12475927024588672,0.42293852831586387,0.6723401115160346,0.8741533754071327,PEDS1,387521,stable
ENSG00000172216,625.6424691150949,-0.2791802946605109,0.31126620988525994,-0.8969180906704373,0.36976262601399135,0.67595446774093,CEBPB,1051,stable
ENSG00000196396,2280.418501045125,-0.3723878128285201,0.14060717650990331,-2.648426787819695,0.008086736281490398,0.07121545176925415,PTPN1,5770,stable
ENSG00000124243,1434.1089626833125,0.2807709572007873,0.18948307336842882,1.481773290930633,0.1384006281438577,0.4181943304454943,BCAS4,55653,stable
ENSG00000101126,5182.4407593848755,0.1827169895364175,0.07539695479964081,2.423400123015153,0.015375980686979809,0.11012729547556802,ADNP,23394,stable
ENSG00000000419,1357.1254988296814,-0.11806937447381968,0.14947152942682226,-0.7899121319396392,0.4295790857197562,0.7230798982529256,DPM1,8813,stable
ENSG00000124217,440.6085058603167,-0.0464309764524112,0.10688531005712812,-0.4343999790765891,0.6639980129461449,0.8702325191442218,MOCS3,27304,stable
ENSG00000101096,3013.5312455645962,0.3188727550602056,0.12141342494968627,2.626338522221464,0.008630893309092637,0.07493939094337165,NFATC2,4773,stable
ENSG00000020256,839.0983499168796,0.13606602159679215,0.12967943733326726,1.0492490127568321,0.2940635259970985,0.6103130255640029,ZFP64,55734,stable
ENSG00000171940,1097.990622197774,0.11240872259919729,0.21478236181018337,0.5233610509346197,0.6007230232725643,0.8368398905710329,ZNF217,7764,stable
ENSG00000101132,596.053872155679,-0.13707134658389064,0.18438783877704926,-0.7433860470029648,0.45724798940530065,0.7437412261175027,PFDN4,5203,stable
ENSG00000124098,103.17462986958279,-0.024105314021187967,0.30892256686300584,-0.07803027880406568,0.9378039674120938,0.9811427845993835,FAM210B,116151,stable
ENSG00000087586,2355.868356336656,-0.045786682972611896,0.14827523190854958,-0.3087952207746426,0.7574773048695633,0.9132238251690082,AURKA,6790,stable
ENSG00000101138,1421.329232072161,0.13473401208781924,0.13042948779854216,1.0330026925807279,0.30160263859364006,0.6183222798551765,CSTF1,1477,stable
ENSG00000022277,2768.5034070951983,-0.041749429799071716,0.1085474411759045,-0.38461919826756186,0.7005195681930376,0.8863050166514331,RTF2,51507,stable
ENSG00000124103,565.5878230944534,-0.0071380962760939975,0.1392645394541271,-0.05125566281318328,0.9591217975845032,0.9893741554866123,FAM209A,200232,stable
ENSG00000101144,1486.6228363934974,0.5395915020317733,1.6321212589756413,0.33060748339889523,0.7409409928749655,0.905371740955472,BMP7,655,stable
ENSG00000101146,1951.7594510442123,-0.006420706560023622,0.08748769434937255,-0.07338982479505325,0.9414959143985495,0.9828564285570986,RAE1,8480,stable
ENSG00000218018,467.18532233881706,0.22492270341420917,0.14445860193452037,1.557004570182406,0.11946940035388327,0.38752453461017844,RBM38-AS1,100291105,stable
ENSG00000132819,6774.868529843835,0.22929240827776776,0.11963535598181457,1.9165940235311527,0.055289527872244594,0.2504993314134617,RBM38,55544,stable
