"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"A8K6X2","A8K6X2",0.00648199631320448,0.312,FALSE,0.247,-0.124,0.124
"A8K6X9","A8K6X9",0.182861193599884,0.877,FALSE,-0.135,0.0674,-0.0674
"A8K718","A8K718",0.156500852502373,0.868,FALSE,0.224,-0.112,0.112
"A8K724","A8K724",0.283386693848816,0.897,FALSE,-0.297,0.149,-0.149
"A8K725","A8K725",0.430988512946426,0.912,FALSE,0.0382,-0.0191,0.0191
"A8K732","A8K732",0.169711402197906,0.873,FALSE,0.0652,-0.0326,0.0326
"A8K769","A8K769",0.615732453498598,0.924,FALSE,0.0339,-0.0169,0.0169
"A8K794","A8K794",0.0932875022652776,0.833,FALSE,-0.0856,0.0428,-0.0428
"A8K7A0","A8K7A0",0.0358851861448319,0.722,FALSE,0.121,-0.0603,0.0603
"A8K7A1","A8K7A1",0.181193152306639,0.876,FALSE,0.0904,-0.0452,0.0452
"A8K7A2","A8K7A2",0.518720369778805,0.919,FALSE,-0.0551,0.0275,-0.0275
"A8K7D9","A8K7D9",0.03737688774374,0.729,FALSE,-0.59,0.295,-0.295
"A8K7F7","A8K7F7",0.511291336471442,0.918,FALSE,0.0431,-0.0216,0.0216
"A8K7H4","A8K7H4",0.0198620840859718,0.607,FALSE,0.148,-0.0742,0.0742
"A8K7J6","A8K7J6",0.0403475963727177,0.74,FALSE,-0.146,0.0732,-0.0732
"A8K7Q1","A8K7Q1",0.159343962744868,0.869,FALSE,0.0598,-0.0299,0.0299
"A8K7S0","A8K7S0",0.331965741305999,0.903,FALSE,-0.0796,0.0398,-0.0398
"A8K7T4","A8K7T4",0.115495011102482,0.849,FALSE,-0.109,0.0547,-0.0547
"A8K7X9","A8K7X9",0.123003069718156,0.853,FALSE,-0.104,0.0521,-0.0521
"A8K7Z3","A8K7Z3",0.36692106430192,0.907,FALSE,0.0711,-0.0355,0.0355
"A8K803","A8K803",0.214998241391497,0.885,FALSE,0.249,-0.124,0.124
"A8K806","A8K806",0.016219585752,0.556,FALSE,-0.151,0.0753,-0.0753
"A8K865","A8K865",0.954640596797698,0.936,FALSE,0.00257,-0.00129,0.00129
"A8K869","A8K869",0.228836215803538,0.888,FALSE,0.128,-0.064,0.064
"A8K874","A8K874",0.146496627391105,0.864,FALSE,0.1,-0.0501,0.0501
"A8K883","A8K883",0.00162067586568526,0.0518,FALSE,0.252,-0.126,0.126
"A8K899","A8K899",0.634057614776217,0.925,FALSE,0.0204,-0.0102,0.0102
"A8K8C0","A8K8C0",0.549987178326992,0.92,FALSE,-0.0233,0.0116,-0.0116
