ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id
ENSG00000204219,6.54159743,1.47887722,0.924525178,1.599607295,0.109685729,0.22132128,TCEA3,6920
ENSG00000088280,278.20943,-0.402540297,0.137323738,-2.931323487,0.003375211,0.011437235,ASAP3,55616
ENSG00000007968,4375.179862,-0.406528047,0.052050379,-7.810280275,5.71E-15,9.57E-14,E2F2,1870
ENSG00000117318,256.2127102,-0.240966215,0.151865208,-1.58671113,0.112578084,0.225706645,ID3,3399
ENSG00000142676,49058.01055,0.225657523,0.065227162,3.459563736,5.41E-04,0.002195569,RPL11,6135
ENSG00000011007,1730.287088,-0.214815437,0.063300787,-3.393566611,6.90E-04,0.002729351,ELOA,6924
ENSG00000057757,1777.727124,0.105894725,0.064845792,1.633023852,0.10246398,0.20999733,PITHD1,57095
ENSG00000011009,1645.869018,-0.367596466,0.067685696,-5.430932827,5.61E-08,4.38E-07,LYPLA2,11313
ENSG00000117308,1243.222087,-0.131557146,0.074602134,-1.763450172,0.077824594,0.168597576,GALE,2582
ENSG00000117305,695.4184352,-0.027784181,0.098686814,-0.28153894,0.778297066,0.873513566,HMGCL,3155
ENSG00000179163,776.9859657,0.147412201,0.095914903,1.536906108,0.124316304,0.243981523,FUCA1,2517
ENSG00000188822,433.3327144,-0.650703381,0.125052013,-5.203461884,1.96E-07,1.42E-06,CNR2,1269
ENSG00000189266,1632.148572,-0.143484361,0.073607024,-1.949329735,0.05125606,0.1200776,PNRC2,55629
ENSG00000188529,5225.02859,-0.143782792,0.058527196,-2.456683416,0.01402262,0.039904881,SRSF10,10772
ENSG00000185436,127.7580628,-1.185863002,0.205318751,-5.775717007,7.66E-09,6.65E-08,IFNLR1,163702
ENSG00000158055,9.447364592,-2.267819572,0.782663712,-2.897565758,0.003760709,0.012582249,GRHL3,57822
ENSG00000001460,154.6947552,0.176046479,0.18173717,0.968687252,0.332701255,0.5079642,STPG1,90529
ENSG00000001461,1983.875159,0.515430538,0.065513273,7.867574253,3.62E-15,6.20E-14,NIPAL3,57185
ENSG00000117602,288.2870369,-0.496071568,0.14428764,-3.438073881,5.86E-04,0.002360271,RCAN3,11123
ENSG00000184454,15.8321013,-1.445750136,0.640830997,-2.256055253,0.024067171,0.063380985,NCMAP,400746
ENSG00000133226,2789.795319,-0.231046436,0.068353103,-3.380189397,7.24E-04,0.002852989,SRRM1,10250
ENSG00000169504,7004.071357,-0.028728121,0.046411701,-0.618984439,0.53592661,0.698903124,CLIC4,25932
ENSG00000020633,5973.050365,-0.684089577,0.051982122,-13.16009331,1.49E-39,1.47E-37,RUNX3,864
