,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name,ensembl
ENSG00000186496,114.046128990195,0.0169507947853871,0.327063360948455,0.0518272506471873,0.95866634184879,0.989034420986375,ZNF396,ENSG00000186496
ENSG00000138668,11794.1084931153,-0.00598022404586131,0.115588628338513,-0.0517371313408754,0.958738150313896,0.989034420986375,HNRNPD,ENSG00000138668
ENSG00000242539,2487.53171226781,0.0280548568001275,0.542872648959173,0.0516785232299249,0.958784850348079,0.989034420986375,AC007620.2,ENSG00000242539
ENSG00000145014,397.413551648939,-0.0125128743968278,0.242168970521677,-0.0516700152371823,0.95879162968689,0.989034420986375,TMEM44,ENSG00000145014
ENSG00000183763,423.978646884337,-0.0089384134173319,0.173487240527678,-0.0515220219662544,0.958909554161975,0.989034420986375,TRAIP,ENSG00000183763
ENSG00000158555,571.160440228236,-0.0179098931819207,0.347640405586714,-0.0515184451925089,0.958912404229497,0.989034420986375,GDPD5,ENSG00000158555
ENSG00000242294,635.603485546195,-0.0063981570766649,0.12460865867353,-0.0513460071296316,0.959049808041795,0.989059365579809,STAG3L5P,ENSG00000242294
ENSG00000100201,22437.087346507,0.00567966236934083,0.110879367097849,0.0512237986020305,0.959147188193087,0.989059365579809,DDX17,ENSG00000100201
ENSG00000174839,1121.69406217472,0.00788397098895987,0.154075505777009,0.0511695285321353,0.959190432732715,0.989059365579809,DENND6A,ENSG00000174839
ENSG00000152256,763.430303519567,0.0116790731779922,0.229485930899979,0.050892327613245,0.95941131926665,0.989199868652013,PDK1,ENSG00000152256
ENSG00000258301,171.585200458662,-0.0131258631531591,0.25966892920148,-0.0505484548864704,0.959685337314423,0.989395123290553,VASH1-AS1,ENSG00000258301
ENSG00000110844,395.641718687315,0.0101449663702493,0.201845652108011,0.0502610101545342,0.959914393867654,0.989460282175089,PRPF40B,ENSG00000110844
ENSG00000102580,2086.57864800058,0.00561973000387913,0.111820537960399,0.0502566890338996,0.95991783727141,0.989460282175089,DNAJC3,ENSG00000102580
ENSG00000268471,164.547932133108,-0.0122893731016851,0.246804875680908,-0.0497938829927087,0.960286641302767,0.989589049371965,MIR4453HG,ENSG00000268471
ENSG00000121486,1043.5389444487,-0.0052351642265004,0.105235828726423,-0.0497469758147674,0.960324021490002,0.989589049371965,TRMT1L,ENSG00000121486
ENSG00000101844,489.850665989198,0.00807600133912156,0.162554811487496,0.0496817120651195,0.960376030118411,0.989589049371965,ATG4A,ENSG00000101844
ENSG00000101346,1852.63559032875,0.00487511361930562,0.0981402339152528,0.0496749745218199,0.960381399270731,0.989589049371965,POFUT1,ENSG00000101346
ENSG00000146776,189.957325699488,-0.0135885070500561,0.274461190711453,-0.0495097576995578,0.960513061217782,0.989608025316966,ATXN7L1,ENSG00000146776
