,SLX.13194.A002,SLX.13194.A003,SLX.13194.A004,SLX.13194.A005,SLX.13194.A006,SLX.13194.A008,SLX.13194.A009,SLX.13194.A010,SLX.13194.A011,SLX.13194.A012
ENSG00000156172,141.321436344443,179.518074097374,141.742309693328,126.127383917798,130.669640567195,193.731011868732,172.400558137974,173.394110269535,184.258141469643,182.586342615744
ENSG00000156467,3626.76951434974,2531.46501589485,2760.4895723881,2938.25323963605,3123.85047197689,2982.25303762696,2410.8712971358,2373.70557851743,3335.52545439105,2511.26446613039
ENSG00000156469,787.362288204755,894.988659268066,892.279457741608,685.978526818228,865.333842748941,685.586948737534,666.341839787249,771.304835336899,610.921460856318,803.379907509274
ENSG00000156471,5371.65663656174,5340.44589512864,5676.66332099674,6190.53792494498,5969.44041440063,5183.55930202141,5470.29707488588,5284.78342118916,5325.3623509997,5612.42326994241
ENSG00000147649,10348.9111012847,10142.3375679651,9451.42368323956,9801.89955018315,9966.61531865755,8992.93334368897,9222.06160198369,10033.6893550367,10295.8012327751,7780.98721608632
ENSG00000156482,14390.2715640939,13725.7611533291,15511.4883337347,13711.8484516349,14160.7347531219,15403.1211250036,14481.6468835898,13719.808975077,13528.6254279863,14974.8891151466
ENSG00000245970,9683.40250054016,10283.6972108534,11016.3982009192,9898.42560930392,8616.67572258207,11098.8797835885,11163.6202686328,10405.8887813911,8066.57978351939,9266.95914291292
ENSG00000132541,385.749839001414,345.160355027801,349.708485390917,344.919784591529,292.361569902141,429.621104040504,311.962914725858,360.241211853087,328.492998111864,221.91263179452
ENSG00000104356,1349.76392263672,1158.62872944005,1199.00052134029,1257.41279681315,1040.65677775457,839.166455555752,726.545209295748,905.834748477056,982.458369065599,702.255163906708
ENSG00000104361,38.2144700319158,286.188234068277,191.700664749174,111.970228580086,338.424968375469,46.1742308080916,213.448310075587,256.354223372632,113.273447624781,328.655416708339
ENSG00000104375,224.239626036336,358.168911121813,511.201772664463,137.71051101229,164.512137404742,219.829490151567,415.95055296781,381.915475636779,181.237516199649,143.260053436968
ENSG00000164920,270.385401169215,462.237359873914,510.039950453862,220.079414795341,204.465085060179,375.41657222231,517.201674413922,477.581191647557,220.505644709573,213.485569827639
ENSG00000132549,1625.91754569755,2040.60883261411,2671.02926217182,1601.04556728307,2333.25214307754,1216.59060303059,2885.65696121419,2203.30102187324,1842.58141469643,2603.96214776607
ENSG00000164919,4876.31058161974,2720.5226977945,3052.10694724897,3180.21189449876,3387.53992650278,4280.15043838484,2720.09769506581,2715.26208021217,4339.8833566641,2011.25878942881
ENSG00000156509,227.844764718592,301.798501381092,210.289820118791,218.792400673731,185.663697928208,210.795401515201,250.391286819439,276.533710343656,209.933456264594,134.832991470088
ENSG00000147669,2404.62750106489,1716.26216733673,1779.91162664081,1499.37145167586,1731.13772017618,1772.68894798021,1355.94407233915,1467.87083004038,1821.43703780648,1191.02475798578
ENSG00000104450,325.18350913951,346.027592100735,273.028219491247,276.708036146189,303.172367503024,277.04538484855,361.220217050993,326.608733568047,322.451747571876,325.846396052712
ENSG00000034677,1132.01354622845,1282.64363086964,1281.48989829296,1199.49716134069,1279.43439433059,902.405076010312,1394.25530748092,1203.29533419807,1307.93074190747,1216.30594388642
