Id,entrezgene_id,Mutu_HL_Ratio,Mutu_Intensity,MutuSignif,U2932_HL_Ratio,U2932_Intensity,U2932Signif
AIMP2,7965,2.1984,26691000,FALSE,0.7564,102000000,FALSE
SEC23B,10483,2.1691,6437500,FALSE,1.5384,199630000,FALSE
NAP1L1,4673,2.1551,26895000,FALSE,0.75438,28531000,FALSE
LTF,4057,2.1306,62926000,FALSE,NA,NA,NA
FARSA,2193,2.1109,17523000,FALSE,0.8711,74591000,FALSE
DDX20,11218,2.1078,85325000,FALSE,0.92225,24764000,FALSE
EEF2,1938,2.1049,889900000,FALSE,1.0978,7897500000,FALSE
TRIM21,6737,2.1041,53311000,FALSE,7.5676,6085800000,TRUE
PRPS1,5631,2.0875,25095000,FALSE,0.82252,561040000,FALSE
ATP5MF-PTCD1,100526740,2.0426,25573000,FALSE,NA,NA,NA
RAN,5901,2.0381,22490000,FALSE,0.94678,1396000000,FALSE
CNBP,7555,2.0136,18976000,FALSE,1.2572,57575000,FALSE
EZR,7430,1.9989,154500000,FALSE,0.60671,1771500000,FALSE
IPO5,3843,1.9889,51750000,FALSE,0.89089,257140000,FALSE
RACK1,10399,1.9515,157510000,FALSE,1.1966,1019600000,FALSE
HSPD1,3329,1.9487,411650000,FALSE,0.92797,1932000000,FALSE
KHSRP,8570,1.9381,18463000,FALSE,1.6855,194640000,FALSE
MYO6,4646,1.8929,38266000,FALSE,1.9815,3154000000,FALSE
SYNCRIP,10492,1.8854,24555000,FALSE,2.025,46537000,FALSE
YWHAQ,10971,1.8728,305970000,FALSE,1.0481,968350000,FALSE
PRPF8,10594,1.8651,7077400,FALSE,1.0115,62106000,FALSE
MARS,4141,1.86,126620000,FALSE,0.81978,659090000,FALSE
HCLS1,3059,1.8266,9604100,FALSE,0.94355,3316500000,FALSE
PPP6R1,22870,1.8143,10924000,FALSE,1.1862,158290000,FALSE
EIF5A,1984,1.8113,67962000,FALSE,1.0853,933640000,FALSE
MYH9,4627,1.7965,2334200000,FALSE,1.4098,1.9296E+11,FALSE
SNRNP200,23020,1.7952,62552000,FALSE,0.95564,202020000,FALSE
QARS,5859,1.7948,17262000,FALSE,0.87539,1142000000,FALSE
MRPL37,51253,1.7943,6661400,FALSE,NA,NA,NA
DARS,1615,1.7913,472570000,FALSE,0.86294,465180000,FALSE
ATP5PO,539,1.7848,32140000,FALSE,1.0095,91848000,FALSE
PSMA7,5688,1.7827,42095000,FALSE,0.67898,538050000,FALSE
SF3B3,23450,1.7796,34985000,FALSE,1.2463,160900000,FALSE
CACYBP,27101,1.7785,33878000,FALSE,0.98458,211980000,FALSE
PSMD2,5708,1.7573,11772000,FALSE,0.86243,490170000,FALSE
AIMP1,9255,1.7552,84832000,FALSE,0.6291,67232000,FALSE
SMN1,6606,1.7387,8438000,FALSE,0.75307,236030000,FALSE
PAICS,10606,1.7332,126930000,FALSE,0.88727,1617600000,FALSE
IARS,3376,1.7265,296850000,FALSE,NA,NA,NA
COPB1,1315,1.7069,12656000,FALSE,0.99577,429130000,FALSE
MGST3,4259,1.705,6458000,FALSE,NA,NA,NA
PCBP2,5094,1.6884,206120000,FALSE,1.1894,113550000,FALSE
MCM7,4176,1.6821,136330000,FALSE,1.1135,605330000,FALSE
HDAC1,3065,1.6756,14254000,FALSE,NA,NA,NA
PRDX1,5052,1.6605,232080000,FALSE,0.98985,14051000000,FALSE
IMPDH2,3615,1.6569,299330000,FALSE,0.73073,56651000,FALSE
PCBP1,5093,1.6551,371400000,FALSE,1.1155,265770000,FALSE
EEF1D,1936,1.6518,63191000,FALSE,0.62191,694040000,FALSE
TUFM,7284,1.6418,343000000,FALSE,1.1333,3257000000,FALSE
CAD,790,1.639,1581400000,FALSE,2.1144,9957900000,FALSE
GEMIN4,50628,1.6372,88566000,FALSE,0.8335,130650000,FALSE
ATP5MG,10632,1.614,13296000,FALSE,1.1839,82579000,FALSE
CROCC,9696,1.613,170020000,FALSE,NA,NA,NA
DDB1,1642,1.6093,23260000,FALSE,0.98291,278620000,FALSE
DUT,1854,1.5971,12524000,FALSE,NA,NA,NA
ACTR2,10097,1.5939,7636800,FALSE,1.2257,1763800000,FALSE
EEF1E1,9521,1.5862,89657000,FALSE,0.81163,233980000,FALSE
AHCY,191,1.5651,80651000,FALSE,1.0793,945620000,FALSE
PUF60,22827,1.5514,194980000,FALSE,1.3122,187300000,FALSE
EEF1G,1937,1.5467,55548000,FALSE,0.65128,2357000000,FALSE
MAD2L1,4085,1.5242,28085000,FALSE,NA,NA,NA
DNAJA1,3301,1.521,77247000,FALSE,0.98658,174120000,FALSE
RBBP7,5931,1.4878,27737000,FALSE,NA,NA,NA
COPG1,22820,1.4828,14498000,FALSE,0.88988,343420000,FALSE
RAC2,5880,1.478,29731000,FALSE,0.88333,4180700000,FALSE
GTF2I,2969,1.4766,25930000,FALSE,0.98948,1547700000,FALSE
TMPO,7112,1.4704,336870000,FALSE,0.69154,435050000,FALSE
HSP90AA1,3320,1.4632,5795700,FALSE,0.8146,2791300000,FALSE
UQCRC2,7385,1.457,54598000,FALSE,0.96133,131380000,FALSE
YWHAG,7532,1.4548,127830000,FALSE,0.6883,699350000,FALSE
PKM,5315,1.4262,231030000,FALSE,0.98129,8402700000,FALSE
GAPDH,2597,1.4118,594250000,FALSE,0.75946,1220600000,FALSE
SLC25A12,8604,1.3977,31750000,FALSE,1.3793,129560000,FALSE
CYC1,1537,1.3941,10058000,FALSE,NA,NA,NA
PHB2,11331,1.3936,168310000,FALSE,1.0607,531520000,FALSE
LDHA,3939,1.389,33673000,FALSE,0.94994,958200000,FALSE
RARS,5917,1.3796,88256000,FALSE,0.77176,767610000,FALSE
VDAC1,7416,1.3711,9218200,FALSE,0.7606,234750000,FALSE
TUBGCP2,10844,1.3707,11073000,FALSE,1.0494,62974000,FALSE
DSTN,11034,1.3686,25314000,FALSE,0.96197,347800000,FALSE
RUVBL2,10856,1.3628,178700000,FALSE,0.77003,956720000,FALSE
PRKDC,5591,1.3547,71368000,FALSE,0.96741,3573700000,FALSE
PHB,5245,1.3406,227630000,FALSE,NA,NA,NA
ATP5F1A,498,1.332,325760000,FALSE,1.0266,794620000,FALSE
GARS,2617,1.3245,27616000,FALSE,1.1231,713430000,FALSE
SNX27,81609,1.3202,8239800,FALSE,1.136,48949000,FALSE
PPP1R12A,4659,1.3189,13053000,FALSE,0.86501,25869000000,FALSE
ITCH,83737,1.3123,19961000,FALSE,NA,NA,NA
EEF1A1,1915,1.3064,4409600000,FALSE,0.90608,28272000000,FALSE
TUBB3,10381,1.2955,102040000,FALSE,NA,NA,NA
MTHFD2,10797,1.2833,94629000,FALSE,1.0356,80269000,FALSE
DPYSL2,1808,1.2769,25447000,FALSE,0.98189,319060000,FALSE
YWHAZ,7534,1.2766,139390000,FALSE,0.79961,1047600000,FALSE
YWHAB,7529,1.2665,70280000,FALSE,0.76401,192770000,FALSE
RUVBL1,8607,1.2619,111760000,FALSE,0.77944,1002600000,FALSE
KPNB1,3837,1.252,50674000,FALSE,0.99653,808000000,FALSE
PTRH2,51651,1.2507,18054000,FALSE,NA,NA,NA
SEC61A1,29927,1.2436,64680000,FALSE,1.1024,287160000,FALSE
ATP2A2,488,1.2197,50127000,FALSE,NA,NA,NA
FASN,2194,1.2167,185000000,FALSE,0.89327,1054700000,FALSE
ARF5,381,1.2127,52457000,FALSE,1.0182,807080000,FALSE
SLC16A1,6566,1.1919,53518000,FALSE,NA,NA,NA
IPO7,10527,1.1846,19916000,FALSE,0.91786,281050000,FALSE
CFL1,1072,1.179,449580000,FALSE,0.89787,5188500000,FALSE
ARF4,378,1.1684,10872000,FALSE,1.0111,864300000,FALSE
NEDD4L,23327,1.1641,5146800,FALSE,NA,NA,NA
ARPC4,10093,1.1625,27634000,FALSE,NA,NA,NA
RAB6B,51560,1.1552,31529000,FALSE,NA,NA,NA
GOT2,2806,1.145,85270000,FALSE,NA,NA,NA
DNAJC11,55735,1.1446,6352100,FALSE,0.93829,13261000,FALSE
HSPH1,10808,1.1413,3724700000,FALSE,1.2373,145940000,FALSE
BAG2,9532,1.1308,63261000,FALSE,1.0153,2223900000,FALSE
TUBB,203068,1.121,5813900000,FALSE,0.90991,4099900000,FALSE
SSR1,6745,1.1122,44775000,FALSE,NA,NA,NA
ALDOA,226,1.1107,19805000,FALSE,NA,NA,NA
GNAS,2778,1.1044,21172000,FALSE,0.8104,1630400000,FALSE
GNAI3,2773,1.1004,15095000,FALSE,0.75963,268360000,FALSE
CD38,952,1.0998,12126000,FALSE,NA,NA,NA
CNOT1,23019,1.0944,21312000,FALSE,1.4115,47823000,FALSE
EMD,2010,1.0938,34236000,FALSE,0.75625,940360000,FALSE
VDAC2,7417,1.0893,142860000,FALSE,0.88063,217220000,FALSE
PCNA,5111,1.0862,199880000,FALSE,0.97542,890590000,FALSE
DDOST,1650,1.0814,85064000,FALSE,NA,NA,NA
OS9,10956,1.0747,16387000,FALSE,NA,NA,NA
HSPA9,3313,1.0738,495150000,FALSE,1.4272,1046700000,FALSE
HSPA5,3309,1.0738,11690000000,FALSE,1.2575,1602800000,FALSE
DCTPP1,79077,1.0697,38367000,FALSE,1.2632,78626000,FALSE
WWP2,11060,1.0638,93843000,FALSE,NA,NA,NA
HACD3,51495,1.0571,427850000,FALSE,1.0286,31692000,FALSE
TUBA1A,7846,1.0526,143300000,FALSE,NA,NA,NA
CNP,1267,1.0436,9813600,FALSE,0.9971,828860000,FALSE
FABP5,2171,1.0424,80823000,FALSE,0.73699,147990000,FALSE
MDH2,4191,1.0418,14525000,FALSE,1.1662,364470000,FALSE
IGHM,3507,1.0361,2.5008E+11,FALSE,0.75516,980590000,FALSE
XPOT,11260,1.0358,7140300,FALSE,NA,NA,NA
HSP90AB1,3326,1.031,969890000,FALSE,0.87221,9538300000,FALSE
POTEE,445582,1.0302,119710000,FALSE,0.93629,34711000000,FALSE
CLTC,1213,1.026,453700000,FALSE,0.75803,9758400000,FALSE
RANBP1,5902,1.0198,40012000,FALSE,NA,NA,NA
CD79A,973,1.0151,299080000,FALSE,NA,NA,NA
DBN1,1627,1.0112,83754000,FALSE,0.81052,19070000000,FALSE
MT-CO2,4513,1.0109,33255000,FALSE,0.97277,244870000,FALSE
TUBA4A,7277,1.0058,275290000,FALSE,NA,NA,NA
ENO1,2023,1.0027,106780000,FALSE,0.77751,399620000,FALSE
SEL1L,6400,1.0013,134450000,FALSE,NA,NA,NA
TUBB4B,10383,0.99639,506200000,FALSE,1.1101,730280000,FALSE
NPEPPS,9520,0.99626,3690200,FALSE,0.97485,29172000,FALSE
HLA-DRB1,3123,0.99469,104840000,FALSE,0.93902,69387000,FALSE
VPREB3,29802,0.99427,453200000,FALSE,NA,NA,NA
IGK,50802,0.98756,35100000000,FALSE,NA,NA,NA
GNB1,2782,0.97906,41118000,FALSE,0.70752,2568100000,FALSE
ATP1A1,476,0.9789,306150000,FALSE,0.87227,781160000,FALSE
PGK1,5230,0.97734,19281000,FALSE,0.91391,425870000,FALSE
RPN2,6185,0.97575,47993000,FALSE,NA,NA,NA
RAB10,10890,0.97059,34519000,FALSE,0.95259,2023400000,FALSE
KARS,3735,0.96934,17267000,FALSE,0.7364,898430000,FALSE
TBL1XR1,79718,0.96476,22965000,FALSE,0.93504,24142000,FALSE
CSE1L,1434,0.9633,169390000,FALSE,0.84999,307260000,FALSE
GNAI2,2771,0.96172,189970000,FALSE,0.75248,6638100000,FALSE
CAND1,55832,0.96037,29905000,FALSE,0.84911,276410000,FALSE
TUBA1B,10376,0.95496,11198000000,FALSE,NA,NA,NA
PHGDH,26227,0.95298,60812000,FALSE,1.0007,987960000,FALSE
RPN1,6184,0.95039,196030000,FALSE,0.89685,37017000,FALSE
TNPO1,3842,0.95011,19859000,FALSE,1.1434,66866000,FALSE
LAPTM5,7805,0.94327,465950000,FALSE,NA,NA,NA
HSPA8,3312,0.94227,2272400000,FALSE,0.90422,9227500000,FALSE
HLA-DPA1,3113,0.94135,10849000,FALSE,NA,NA,NA
HLA-DRA,3122,0.93983,106830000,FALSE,0.80258,401290000,FALSE
ACTG1,71,0.93658,39710000000,FALSE,1.0208,6.5131E+11,FALSE
FAR1,84188,0.9314,114790000,FALSE,NA,NA,NA
CAMTA2,23125,0.92406,133410000,FALSE,NA,NA,NA
SCAMP3,10067,0.92135,9530600,FALSE,0.88903,26942000,FALSE
EEF1B2,1933,0.91762,37261000,FALSE,0.7027,704340000,FALSE
AKAP11,11215,0.91761,23627000,FALSE,NA,NA,NA
SLC20A1,6574,0.91653,15364000,FALSE,NA,NA,NA
CXCR4,7852,0.91242,35896000,FALSE,NA,NA,NA
HYOU1,10525,0.91114,14720000,FALSE,0.78754,111180000,FALSE
JCHAIN,3512,0.89991,384530000,FALSE,NA,NA,NA
XPO1,7514,0.89975,38916000,FALSE,0.82072,98455000,FALSE
JAK1,3716,0.89438,179520000,FALSE,1.2189,112080000,FALSE
DNAJB11,51726,0.89158,13725000,FALSE,NA,NA,NA
AIFM1,9131,0.89104,6865800,FALSE,0.50791,61831000,FALSE
RNF144B,255488,0.88837,425870000,FALSE,NA,NA,NA
SPTAN1,6709,0.88648,18388000,FALSE,0.98389,3.4845E+11,FALSE
CD22,933,0.87427,36538000,FALSE,1.0778,232240000,FALSE
ATP5F1B,506,0.87388,289320000,FALSE,0.7428,459150000,FALSE
DHCR7,1717,0.87356,115930000,FALSE,NA,NA,NA
PCMT1,5110,0.87258,490430000,FALSE,0.4605,559700000,FALSE
CD79B,974,0.87098,604330000,FALSE,NA,NA,NA
TFRC,7037,0.87058,1314100000,FALSE,1.1903,488760000,FALSE
