Gene_names.x,Mutu_HL_Ratio,Mutu_Intensity,MutuSignif,Gene_names_rep,Gene_names.y,U2932_HL_Ratio,U2932_Intensity,U2932Signif,ApprovedSymbol,entrezgene_id
STRAP,3.823,149210000,FALSE,STRAP,STRAP,0.95154,96459000,FALSE,STRAP,11171
MCM5,3.8007,161480000,FALSE,MCM5,MCM5,1.2728,1348500000,FALSE,MCM5,4174
MCM3;HCC5,3.744,652620000,FALSE,MCM3,MCM3;HCC5,1.4663,1159000000,FALSE,MCM3,4172
RPS4X;RPS4Y1;RPS4Y2,3.7298,55060000,FALSE,RPS4X,RPS4X;RPS4Y1,1.2263,1448300000,FALSE,RPS4X,6191
SF3B6,3.6906,13365000,FALSE,SF3B6,SF3B6,1.1786,28646000,FALSE,SF3B6,51639
IGSF9B;MSI2,3.673,33393000,FALSE,IGSF9B,NA,NA,NA,NA,IGSF9B,22997
PTCD3,3.6727,42800000,FALSE,PTCD3,PTCD3,1.2195,291230000,FALSE,PTCD3,55037
MRPS35,3.6711,16846000,FALSE,MRPS35,NA,NA,NA,NA,MRPS35,60488
NHP2,3.6502,10153000,FALSE,NHP2,NA,NA,NA,NA,NHP2,55651
PARP1,3.6393,55071000,FALSE,PARP1,PARP1,0.8998,371720000,FALSE,PARP1,142
RBM14,3.6211,584660000,FALSE,RBM14,RBM14,3.0517,2372100000,FALSE,RBM14,10432
HNRNPF,3.6029,446490000,FALSE,HNRNPF,HNRNPF,1.8206,900750000,FALSE,HNRNPF,3185
HNRNPC;HCG_1641229,3.5787,172290000,FALSE,HNRNPC,HNRNPC;HCG_1641229,0.72808,255350000,FALSE,HNRNPC,3183
RPS3A,3.5703,50703000,FALSE,RPS3A,RPS3A,1.1718,779060000,FALSE,RPS3A,6189
RPS13,3.5401,62911000,FALSE,RPS13,RPS13,0.70315,235180000,FALSE,RPS13,6207
ILF3,3.5282,39706000,FALSE,ILF3,ILF3,2.3921,799590000,FALSE,ILF3,3609
RBM4,3.491,7241100,FALSE,RBM4,NA,NA,NA,NA,RBM4,5936
ACTR1A,3.4856,59547000,FALSE,ACTR1A,NA,NA,NA,NA,ACTR1A,10121
EIF2S1,3.4784,26920000,FALSE,EIF2S1,EIF2S1,0.91128,286550000,FALSE,EIF2S1,1965
RPSA;RPSAP58,3.4148,116920000,FALSE,RPSA,RPSA;RPSAP58,0.80938,189890000,FALSE,RPSA,3921
NME1;NME2;NME1-NME2,3.4036,29035000,FALSE,NME1,NME1,0.97713,47095000,FALSE,NME1,4830
HMGB1;HMG1;WUGSC:H_NH0244E06.1;HMGB1P1,3.3753,58408000,FALSE,HMGB1,HMGB1;HMGB1P1,0.72976,171010000,FALSE,HMGB1,3146
U5-116KD;EFTUD2;SNRP116,3.3631,70765000,FALSE,U5-116KD,U5-116KD;EFTUD2;SNRP116,1.1814,149540000,FALSE,NA,NA
SSB,3.3626,93355000,FALSE,SSB,NA,NA,NA,NA,SSB,6741
RFC3,3.2591,49268000,FALSE,RFC3,NA,NA,NA,NA,RFC3,5983
TRIM28,3.2389,160800000,FALSE,TRIM28,TRIM28,1.3804,215700000,FALSE,TRIM28,10155
SF3B1,3.2337,29222000,FALSE,SF3B1,SF3B1,1.6288,76017000,FALSE,SF3B1,23451
TBL2,3.1997,3538600,FALSE,TBL2,TBL2,1.1575,11015000,FALSE,TBL2,26608
PDE6H;MYL6,3.1944,106130000,FALSE,PDE6H,PDE6H;MYL6,1.2543,8869900000,FALSE,PDE6H,5149
RFC5,3.1513,66867000,FALSE,RFC5,NA,NA,NA,NA,RFC5,5985
RPIA,3.1105,6440200,FALSE,RPIA,RPIA,1.1337,50976000,FALSE,RPIA,22934
COPE,3.1018,13121000,FALSE,COPE,COPE,0.88882,263570000,FALSE,COPE,11316
RPL22,3.0985,53203000,FALSE,RPL22,RPL22,0.73612,203200000,FALSE,RPL22,6146
SET,3.0643,136420000,FALSE,SET,SET,1.1666,46897000,FALSE,SET,6418
RPS19,3.0611,172890000,FALSE,RPS19,RPS19,1.1572,518910000,FALSE,RPS19,6223
TKT,3.0442,169090000,FALSE,TKT,TKT,1.4481,135030000,FALSE,TKT,7086
CDC23,3.0417,8826000,FALSE,CDC23,CDC23,2.7171,26759000,FALSE,CDC23,8697
ANKRD44;LOC91526;ANKRD28,3.0145,12744000,FALSE,ANKRD44,NA,NA,NA,NA,ANKRD44,91526
RPS12,2.9826,93859000,FALSE,RPS12,RPS12,1.1307,607840000,FALSE,RPS12,6206
PPP2R1A,2.9801,143440000,FALSE,PPP2R1A,PPP2R1A,1.1646,334150000,FALSE,PPP2R1A,5518
DOCK2,2.9089,21581000,FALSE,DOCK2,DOCK2,0.88623,1435000000,FALSE,DOCK2,1794
G3BP;DKFZP686L1159;G3BP1,2.8472,6999500,FALSE,G3BP,G3BP;DKFZP686L1159;G3BP1,2.0425,170120000,FALSE,NA,NA
CPSF3,2.8456,10577000,FALSE,CPSF3,CPSF3,3.2879,314550000,FALSE,CPSF3,51692
PPP2CA;PPP2CB,2.8403,22730000,FALSE,PPP2CA,NA,NA,NA,NA,PPP2CA,5515
MRPL13,2.8051,7251100,FALSE,MRPL13,NA,NA,NA,NA,MRPL13,28998
H3F3B;H3F3A;HIST2H3A;HIST3H3;HIST1H3A;HIST2H3PS2;H3F3C,2.802,382980000,FALSE,H3-3B,NA,NA,NA,NA,H3-3B,3021
MYL12A;MYL12B,2.7736,41641000,FALSE,MYL12A,MYL12A;MYL12B;MYL9,1.1787,2039200000,FALSE,MYL12A,10627
PLCG2,2.7481,365370000,FALSE,PLCG2,PLCG2,1.1903,986890000,FALSE,PLCG2,5336
MCM6,2.7172,3736000,FALSE,MCM6,MCM6,0.74309,178960000,FALSE,MCM6,4175
GPI,2.6936,185580000,FALSE,GPI,NA,NA,NA,NA,GPI,2821
VPS16,2.6902,7612500,FALSE,VPS16,NA,NA,NA,NA,VPS16,64601
ATAD3A,2.6886,93527000,FALSE,ATAD3A,ATAD3A;ATAD3B,1.0911,3954500000,FALSE,ATAD3A,55210
HNRNPA1;HNRPA1;HNRNPA1L2,2.6623,69083000,FALSE,HNRNPA1,HNRNPA1;HNRPA1;HNRNPA1L2,0.6861,391140000,FALSE,HNRNPA1,3178
DNCL1;DYNLL1;DYNLL2,2.6553,36099000,FALSE,DYNLL1,DNCL1;DYNLL2;DYNLL1,1.3374,1035800000,FALSE,DYNLL1,8655
BUB3,2.6489,56891000,FALSE,BUB3,NA,NA,NA,NA,BUB3,9184
PRPF19,2.6304,225820000,FALSE,PRPF19,PRPF19,0.87067,29315000,FALSE,PRPF19,27339
GMPS,2.6261,14470000,FALSE,GMPS,GMPS,1.2941,361110000,FALSE,GMPS,8833
TAX1BP1,2.598,26408000,FALSE,TAX1BP1,NA,NA,NA,NA,TAX1BP1,8887
RPS5,2.5922,122780000,FALSE,RPS5,RPS5,1.1485,532900000,FALSE,RPS5,6193
XRCC5,2.5711,62422000,FALSE,XRCC5,XRCC5,0.72128,672330000,FALSE,XRCC5,7520
SND1,2.5641,17283000,FALSE,SND1,SND1,1.085,581810000,FALSE,SND1,27044
KPNA3,2.5361,7573300,FALSE,KPNA3,NA,NA,NA,NA,KPNA3,3839
NPM1,2.4883,1238700000,FALSE,NPM1,NPM1,0.84782,757270000,FALSE,NPM1,4869
EPRS,2.4549,87454000,FALSE,EPRS1,EPRS,0.75759,1654700000,FALSE,EPRS1,2058
COPB2,2.4169,14677000,FALSE,COPB2,COPB2,0.86215,238730000,FALSE,COPB2,9276
ISG20,2.4146,29129000,FALSE,ISG20,ISG20,1.1263,85116000,FALSE,ISG20,3669
RCC2,2.4101,84788000,FALSE,RCC2,RCC2,1.4469,1270500000,FALSE,RCC2,55920
SMC2,2.4034,22347000,FALSE,SMC2,SMC2,0.99916,97453000,FALSE,SMC2,10592
DPM1,2.3983,9841100,FALSE,DPM1,DPM1,1.1459,81595000,FALSE,DPM1,8813
LARP4,2.3963,10273000,FALSE,LARP4,NA,NA,NA,NA,LARP4,113251
XRCC6,2.3938,71513000,FALSE,XRCC6,XRCC6;G22P1,0.69255,698870000,FALSE,XRCC6,2547
MYH10,2.3003,10791000,FALSE,MYH10,MYH10,1.1521,102760000000,FALSE,MYH10,4628
RAE1,2.2651,9338200,FALSE,RAE1,NA,NA,NA,NA,RAE1,8480
RPS10;RPS10-NUDT3;RPS10P5,2.262,58045000,FALSE,RPS10,RPS10;RPS10P5,0.90799,70866000,FALSE,RPS10,6204
HNRNPA2B1,2.2597,148830000,FALSE,HNRNPA2B1,HNRNPA2B1,0.59855,314260000,FALSE,HNRNPA2B1,3181
RFC2,2.2593,58815000,FALSE,RFC2,NA,NA,NA,NA,RFC2,5982
PPP1CC,2.2562,4259900,FALSE,PPP1CC,PPP1CC,1.0994,352530000,FALSE,PPP1CC,5501
AIMP2,2.1984,26691000,FALSE,AIMP2,AIMP2,0.7564,102000000,FALSE,AIMP2,7965
SEC23B;SEC23A,2.1691,6437500,FALSE,SEC23B,SEC23B,1.5384,199630000,FALSE,SEC23B,10483
NAP1L1,2.1551,26895000,FALSE,NAP1L1,NAP1L1,0.75438,28531000,FALSE,NAP1L1,4673
LTF,2.1306,62926000,FALSE,LTF,NA,NA,NA,NA,LTF,4057
EPFP1;HSPE1,2.1152,25641000,FALSE,EPFP1,NA,NA,NA,NA,NA,NA
FARSA;FARSLA,2.1109,17523000,FALSE,FARSA,FARSA;FARSLA,0.8711,74591000,FALSE,FARSA,2193
DDX20,2.1078,85325000,FALSE,DDX20,DDX20,0.92225,24764000,FALSE,DDX20,11218
EEF2,2.1049,889900000,FALSE,EEF2,EEF2,1.0978,7897500000,FALSE,EEF2,1938
TRIM21,2.1041,53311000,FALSE,TRIM21,TRIM21,7.5676,6085800000,TRUE,TRIM21,6737
PRPS1;PRPS1L1;PRPS2,2.0875,25095000,FALSE,PRPS1,PRPS1;PRPS1L1,0.82252,561040000,FALSE,PRPS1,5631
ATP5J2-PTCD1;ATP5J2,2.0426,25573000,FALSE,ATP5MF-PTCD1,NA,NA,NA,NA,ATP5MF-PTCD1,100526740
RAN,2.0381,22490000,FALSE,RAN,RAN,0.94678,1396000000,FALSE,RAN,5901
CNBP,2.0136,18976000,FALSE,CNBP,CNBP,1.2572,57575000,FALSE,CNBP,7555
EZR,1.9989,154500000,FALSE,EZR,EZR;EZR-ROS1,0.60671,1771500000,FALSE,EZR,7430
IPO5,1.9889,51750000,FALSE,IPO5,IPO5,0.89089,257140000,FALSE,IPO5,3843
GNB2L1,1.9515,157510000,FALSE,RACK1,GNB2L1,1.1966,1019600000,FALSE,RACK1,10399
HSPD1,1.9487,411650000,FALSE,HSPD1,HSPD1,0.92797,1932000000,FALSE,HSPD1,3329
KHSRP,1.9381,18463000,FALSE,KHSRP,KHSRP,1.6855,194640000,FALSE,KHSRP,8570
MYO6,1.8929,38266000,FALSE,MYO6,MYO6,1.9815,3154000000,FALSE,MYO6,4646
MYO6,1.8929,38266000,FALSE,MYO6,MYO6,1.978,91603000000,FALSE,MYO6,4646
SYNCRIP,1.8854,24555000,FALSE,SYNCRIP,SYNCRIP,2.025,46537000,FALSE,SYNCRIP,10492
MYO6,1.8774,1480100000,FALSE,MYO6,MYO6,1.9815,3154000000,FALSE,MYO6,4646
MYO6,1.8774,1480100000,FALSE,MYO6,MYO6,1.978,91603000000,FALSE,MYO6,4646
YWHAQ,1.8728,305970000,FALSE,YWHAQ,YWHAQ,1.0481,968350000,FALSE,YWHAQ,10971
PRPF8,1.8651,7077400,FALSE,PRPF8,PRPF8,1.0115,62106000,FALSE,PRPF8,10594
MARS,1.86,126620000,FALSE,MARS1,MARS,0.81978,659090000,FALSE,MARS1,4141
HCLS1,1.8266,9604100,FALSE,HCLS1,HCLS1,0.94355,3316500000,FALSE,HCLS1,3059
PPP6R1;SAPS1,1.8143,10924000,FALSE,PPP6R1,PPP6R1,1.1862,158290000,FALSE,PPP6R1,22870
