Sample,SampleALT,Experiment,Batch,Condition,Replicate,Cell_line,Treatment,Time,Treatment2,SLX,Corresponding ,Merged
SLX.13199.A007,SLX-13199.A007,RNA,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.13199,SLX.14241.A003,1
SLX.14293.A004,SLX-14293.A004,Ribo,1,Mutu_ctl_48,1,Mutu,ctl,48,ctl,SLX.14293,,0
SLX.14293.A005,SLX-14293.A005,Ribo,1,Mutu_sh1_48,1,Mutu,sh1,48,sh,SLX.14293,,0
SLX.14293.A006,SLX-14293.A006,Ribo,1,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.14293,,0
SLX.14241.A003,SLX-14241.A003,Ribo,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.14241,SLX.13199.A007,1
SLX.14293.A003,SLX-14293.A003,Ribo,1,U2932_sh2_24,1,U2932,sh2,24,sh,SLX.14293,SLX.14296.A003,1
SLX.14296.A003,SLX-14296.A003,RNA,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.14296,SLX.14293.A003,1
SLX.12465.A012,SLX-12465.A012,RNA,1,U2932_sh2_48,1,U2932,sh2,48,sh,SLX.12465,SLX.12470.A006,1
SLX.12470.A006,SLX-12470.A006,Ribo,1,U2932_sh2_48,1,U2932,sh2,48,sh,SLX.12470,SLX.12465.A012,1
SLX.13199.A010,SLX-13199.A010,RNA,2,U2932_sh2_48,2,U2932,sh2,48,sh,SLX.13199,SLX.13454.A003,1
SLX.14298.A004,SLX-14298.A004,Ribo,1,U2932_ctl_48,1,U2932,ctl,48,ctl,SLX.14298,,0
SLX.14298.A005,SLX-14298.A005,Ribo,1,U2932_sh1_48,1,U2932,sh1,48,sh,SLX.14298,,0
SLX.14298.A006,SLX-14298.A006,Ribo,1,U2932_sh2_48,1,U2932,sh2,48,sh,SLX.14298,,0
SLX.13454.A003,SLX-13454.A003,Ribo,2,U2932_sh2_48,2,U2932,sh2,48,sh,SLX.13454,SLX.13199.A010,1
